[3.025.040]
TEMPRESA            Tabela de Empresas
TNUMORNS            Número Original da NFSe
TCTEEVMA            Evento Manifestação do CTE
TCTEMANI            Manifestação de CTE
TEVECTETREGA        Evento Comprovante de Entrega CT-e
TEFCFOPCC           Cadastro da Relação CFOP X Conta Contábil
TTOQVLRUXML         Valor Unitário do Item no XML
TELYEXPS            Layout Etiqueta da Expedição Simplificada
TEMPMOEDA           MOEDA DA EMPRESA
TORDANEX            Anexos do Cadastro de Ordens
TPRODMAX            Saldo Máximo dos Produtos
TPRODMIN            Saldo Mínimo dos Produtos
TEXPLANTEK          EXPORTACAO LANTEK
TMAQHISVAL          Historico de alteração de valores
TTOQIPINF           Tabela Auxiliar Valores de IPI Informativo
TUMGERAL            Temporário de Uso Geral
TRESTUSUA           Usuários para Restrição de Acesso Cadastro de Empresa
TPARAMA2            Parâmetros Auxiliares Reservas de Código
TCMPPA14            Usuários para Ocultação das Ordens de Compra sem Liberação
TPEDSTPISCOF        ST sobre PIS/COFINS dos Itens do Pedido
TPROGFINA           Prioridades da Programação Fina da Produção
TPRIPROG            Priorização de Pedidos para Programação da Produção
TREQORDFAB          Ordens de Fabricação Relacionadas a Ordem de Compra
TORCSTPISCOF        ST sobre PIS/COFINS dos Itens do Orçamento Padrão
TTOQVEINOV          Detalhamento de Veículos Novos
TPRODUT2            Auxiliar ao Cadastro do Produto
TEDIBLOQNF          Parâmetros do EDI
TENTPASER           Séries Não Consideradas na Crítica da Chave de Acesso
TTOQTREXP           Movimento de Transferência NF com Expedição
TAPPFVPED           Aplicativo Força de Vendas - Pedido de Venda / Assistência
TDEPCALPAD          Depósitos de Cálculo de Custo Padrão
TLACSCOPIA          Relação de Contas Alteradas na Cópia do Lalur para Lacs
TOBSPEDMU           Observação do Pedido de Compra por Depósito
TLICEGRUPO          Licenciamento por Grupo
TPAREXUPE           Usuários para Excluir Projetos da Expedição
TTOQDESICMST        Despesa Ref. a ICMS ST
TTOQCNVQNT          Aux. TOQMOVI Quantidade da NF-e já Convertida
TLACON2             Auxiliar da tabela LACON
TEFDK010            Informação sobre o tipo de Leiaute Bloco K
TPRODCME            Custo Reposição Moeda Estrangeira do Produto
TOPEMARCA           CFOPs na Tabela para Marcar/Desmarcar
THISPREVEN          Histórico Preco de Venda
TPAREXUF            Usuários para Liberar Faturamento Volumes
TRELPEDORC          Relação Pedido e Orçamento Força de Vendas
TOSTATUS            Status do Orçamento Padrão para o Força de Vendas
TDOCTRIANG          Dados Operações Triangulares no Documento
TTOQTRIANG          Dados Operações Triangulares
TITEMNPROD          Itens Não Produzidos
TPAREXUA            Usuários para Atualizar Produtos
TDOCDTCOL           Tabela de Data de Coleta da NFe
TEFRZ4020           Cadastro de Pagamentos/Créditos a Beneficiário PJ
TEFRX4020           Cadastro de Infos. de Pagamentos no Exterior
TEFRT4020           Cadastro de Endereço do Beneficiário no Exterior
TEFRR4020           Cadastro de Pagamentos/Créditos a Beneficiário PJ
TEFRP4020           Cadastro de Pagamento Efetuado
TEFRN4020           Cadastro de Não Retenção ou Processos Judiciais
TEFRJ4020           Cadastro de Infos. Rendimentos de Decisão Judicial
TEFRG4020           Cadastro de Identificação do Advogado
TEFRF4020           Cadastro de Retenções na Fonte e BC
TEFRE4020           Cadastro de Identificação do Estabelecimento
TEFRD4020           Cadastro de Rendimento
TEFRC4020           Cadastro de Identificação do Contribuinte
TEFRB4020           Cadastro de Identificação do Beneficiário
TEFRA4020           Cadastro de Detalhamento das Despesas Judiciais
TPARCONREP          Parâmetros de Bloqueio de Representantes
TEFRA1050           Alteração de Informações de Entidade
TEFRC1050           Cadastro de Identificação do Contribuinte
TEFRE1050           Exclusão de Informações de Entidade
TEFRI1050           Inclusão de Informações de Entidade
TEFRL1050           Cadastro de Informações a Entidades Ligadas
TEFRN1050           Nova Validade das Informações de Alteração
TCTEEVINSUC         Insucesso na Entrega do CT-e
TCNSDSMONT          Número de Série da Desmontagem
TBATDVOL            Batismo Descrição de Volumes
TMARGROF            Marcação de Grupos e Subgrupos OFs
TASSIDESPESA        Cadastro de Despesas da Assistência Técnica
TPROINLIB           Usuários para Liberação da Inspeção
TCORR0221           Correlação 0221
TPARUF               Parametrização de UF por Rotina
TNLOGSEN            Usuário e Senha
TPRODAUX            Auxiliar do Produto
TEFRA4010           Cadastro de Pagamentos/Créditos a Beneficiário PF
TEFRD4010           Informações de Identificação dos Dependentes do Beneficiário
TEFRE4010           Informações de Identificação do Rendimento
TEFRF4010           Informações Relativas ao Rendimento Pago/Creditado
TEFRG4010           Informações Relativas as Deduções do Rendimento Tributável
TEFRI4010           Rendimentos Isentos ou Não Tributáveis
TEFRJ4010           Informações de Processos Relacionados a Não Retenção
TEFRL4010           Rendimentos Recebidos Acumuladamente - RRA
TEFD0221            Correlação Entre Códigos de Itens Comercializados
TPAREXUM            Usuários para Liberar Modo de Entrada de Dados na Expedição
TEFRM4010           Informações Complementares - Rendimentos Decisão Judicial
TEFRN4010           Informações Complementares de Pagamentos a Residente Fiscal no Exterior
TEFRO4010           Identificação da Operadora do Plano de Assistência à Saúde
TLIBREQUIS1         Requsições e Devoluções
TUSULIBREQ          Usuários para Liberação das Requisições
TBLOQCOND           Bloqueio de Condições de Pagamento
TEVETIPTIT          Cadastro de Eventos por Tipo de Título
TES03025            Arquivos Importados da Integração com Fortes
TAPPFVDEPOSI        Aplicativo Força de Vendas - Depósitos
TDIME36             Cadastro de Registro Tipo 36 da DIME
TDIME37             Cadastro de Registro Tipo 37 da DIME
TDIME85             Cadastro de Registro Tipo 85 da DIME
TFORNCMFIS          Cadastro de NCM para Fórmula de Livros Fiscais
TMWFVACESSO         Representantes e Usuários do Força de Vendas acessíveis no Módulo Web
TORDRAST            Rastreabilidade das Ordens de Fabricação
TLAYCPF             Layout Vinculado ao CPF
TENGESTUSU          Usuários Permitidos para Alterar Estrutura
TTOQCREDPRE         Cadastro de Informações de Crédito Presumido
TESTNOTIF           Notificações Para Alteração de Estrutura com OF Pendentes
TFLUXDINA           Fluxo de Caixa Dinâmico
TPRJEXSRA           Rastreabilidade da Separação
TCODCOF2            Relação Códigos para Consulta F2
TEVEATORNF          Evento Ator Interessado na NFe
TREDEPREP           Relação de Depósitos Ordens de Produção e Reporte
TPRJRELPRO          Relação de Produtos com o Produto da Expedição
TBCODDA             Layout do Arquivo DDA do Banco
TEVEINSUTRE         Evento Insucesso na Entrega da NF-e
TFTP02039           Integração via FTP Especial ES02039
TORCONPA            Parâmetros de Condições
TPRJPREP            Processo de Reporte pela Expedição
TAPCUSTO            Centros de Custo para o App Chão de Fábrica
TMRKP22             Relação Canal de Venda com Produto
TCEWSEMI            Emissão Certificado Digital
TUSUPARLIBE         Parametrização de Usuários para Rotina
TPARCACFOP          Parametrização de Carga Tributária por CFOP
TMRKP25             Categorias dos Canais de Venda
TPRJREAETIQ         Reaproveitamento de Etiquetas
TTOQSATRIAN         Dados Operações Triangulares no Documento NF-s de Saída
TNATUREND           Cadastro Código Natureza do Rendimento - REINF
TPARAUSUA           Usuários para Liberação de Alteração de Itens
TTMPTPINST          Template de Tipo de Instrumento
TPARAEPI            Parâmetros de EPIs
TIMOFGRSB           Grupos/Subgrupos não Considerados na Importação de OF de Ind. Terceiros
TDOCIRAUX           Cadastro Auxiliar das Notas com IR
TORCDESCO           Valores de Desconto e SUFRAMA dos Itens do Orçamento
TPASFAS3            Passagem de Fases
TCAMONTNF           Controle de Montagem da NF
TACOMPAPR           Acompanhamento do Produto do Pedido
TMRPMPS             Planejamento e MPS
TAPIIND             Parâmetros da API Industrial
TTEFTERM            Cadastro de Terminais
TORDEM3             Origens da OF
TTITRATCC           Rateio de Valores por Centro de Custo
TPRJEXSA            Projeto Expedição Simplificada Auxiliar
TTEFTRA             Transações TEF
TUMTEF              Temporário Integração TEF
TALITPIMTX          Alíquota dos Tipos de Impostos e Taxas
TCLATPIMTX          Classificações Tributárias dos Tipos de Impostos e Taxas
TREDTPIMTX          % de Redução de Alíquota das Classificações Tributárias
TSITTPIMTX          Situações Tributárias dos Tipos de Impostos e Taxas
TTPIMPTX            Tipos de Impostos e Taxas
TCOMPDOC            Documentos do Pedido de Compra
TUMMOTGRUP          Temporário para Motivos de Paradas
TMOTGRUP            Motivos de Paradas Relacionados ao Grupo de Máquinas
TUMCLASITE          Temporário para Classificação para Itens não Produzidos
TCLASITE            Classificação para Itens não Produzidos
TITECOT             Itens Cotados Sem Vínculo a Tabela de Venda
TDECNAESER          CNAE do Depósito
TINVCICLIC          Inventário Cíclico
TINVENTC            Digitação Inventário Cíclico
TPARAAUXU           Selecionar Usuários para Digitação do Inventário
TORCRELPED          Relacionamento Orçamento e Pedido
TPLANILFU           Funcionários do Planilhamento
TPROCHIS            Histórico do Processo
TPARAM17            Usuários com Exceção à Regra de Intervalo
TPRLGERAL           Rotas e Relacionamentos para o LGPD
TLGPDDADO           Dados Encontrados durante Consulta LGPD
TLGPDTABE           Tabelas Pesquisadas durante Consulta LGPD
TIMPITENS           Impostos Nota
TDOCREF             Tabela Auxiliar de Documentos ref Reforma Tributária
TCARTRIB            Característica Tributária
PLANCAIXA           Lançamento do Caixa
PLIMCRED            Verifica Limite de Crédito
PNFLAYOUT           Layout NF Impressão
PETLAYO3            Layout Etiquetas por Produtos
PETLAYO6            Etiquetas Parametrizadas Conforme Pedido
PIMPNF01            Rotina Impressão NF
PRCCP001            Cálculo Carga Máquina Geral
PES05016            Converte 12 Desenhos para JPG
PINTCAD3            Integração Direta com CAD
PES05008            Alteração de Itens Não-Fantasma p/ Fantasma
PES05009            Informa a Quinta Linha da Narra na Rastreabilidade
PBAC0086            Atualiza Datas Ordens X Lotes
PES03007            Tela F2 com Informações de Produtos / Clientes / NF Emitida
PTELAF65            Grava Pedido de Venda
PTELAF66            Grava Orçamento Padrão
PES02015            Grava Temporário de Cidades
PES05048            Reporte de Produção
PINVOICY            Faz a integração com o Invoicy
PES05061            Extrato de Ordem com % Acréscimo
PNFCE017            Emissão de NFCe
PNFSE017            Emissão de NFS-e
PCTE017             Emissão de CT-e
PNFEI017            Emissão de NF-e Invoicy
PES03019            Especial de Atualização de Estoque MM
PES05072            Permite a importação automática de estruturas.
PINTCA23            Integração Direta com CAD ES05072
PNOTEXCLUI          Críticas para Exclusão de Documentos Fiscais
PEDI111             Alterar Previsão com Pedido Pendente
PMDFI017            Emissão de MDF-e
PCADMARCA           Marca Importação CAD
PINTCA27            Integração Direta com CAD Registros Marcados
PTITAUTORI          Lê/Autoriza Títulos para Liberação
PES02033            Relatório Lista de Pedidos
PES09009            Especial Relatório de Pedido de Compra
PES12002            Atualização do Custo Médio/Rep.
RES05006            Impressão de Etiquetas
WMUCOMPRAS          Menu Pedidos de Compra
WLISCOMPRA          Lista de Compras
WMURELCOMPRAS       Menu Relatório de Compras
WCLASSI             Lista de Classificações Fiscais
WTRANSACAO          TRANSAÇÕES DE ESTOQUE
WTRIBU              Lista Situações Fiscais - ICMS
WTRIBUIP            Lista Situações Fiscais - IPI
WUNIMED             Lista de Unidades de Medidas
WCIDADE             Lista de Cidades
WESTADO             Lista de Estados
WMUCOMERCIAL        Menu Módulo Comercial
WPAIS               Lista de Países
WEMPRESA            Clientes / Fornecedores
WQUALIFI            Lista de Qualificações
WVENDEDOR           Lista de Representante
WVISITA             Lista de Visitas Vendedores
WBANCO              Lista de Bancos
WMUCAIXA            Menu Caixa
WCCUSTO             Lista de Centros de Custo
WMUCONTABIL         Menu Contabilidade
WRATEIO             LISTA DE RATEIOS CONTÁBEIS
WPLANOC             Lista de Plano de Contas
WCUSTOS             Lista de Tipos de Custos
WREGIAO             Lista de Regiões
WFORMULA            Lista de Fórmulas de Custo
WMAQUINA            Lista de Máquinas
WPROCESSO           Lista de Processos de Produção
WDEPOSITO           Lista de Depósitos
WGRUPO              Lista de SubGrupos de Estoque
WPRODUTO            Lista de Produtos
WGRELE              LISTA DE GRUPOS DE ELEMENTOS
WMUPATRIMONIO       Menu Controle Patrimonial
WMUFISCAL           Menu de Obrigações Fiscais
WMUNOTAS            Menu de NF's
WOBSERVA            Lista de Observações Padronizadas
WOPERA              Lista de CFOPs
WLOCALIZ            Lista de Localizações Prateleiras
WTIPOPED            Lista de Tipos de Pedido
WINVENTA            Lista Digitação Inventário
WMUPEDIDOS          Menu de Pedidos de Venda
WIMPOSTO            LISTA DE IMPOSTOS
WELEMENTOS          LISTA DE ELEMENTOS
WELECON             Lista de Componentes do Elemento
WESTRUTU            Lista de Estruturas de Produtos
WPEDIDOS            Lista de Pedidos
WFERIADOS           Lista de Feriados
WMUINDICADORES      Menu Indicadores
WINDICADORES        LISTA INDICADORES
WINDCOTA            LISTA COTAÇÕES DE INDICATIVOS
WESTRUT1            Menu Relatório de Estruturas
WTIPOORD            Lista de Tipos de Ordens
WHORARIO            LISTA DE HORÁRIOS DA PRODUÇÃO
WVLREL              Lista de Valores dos Elementos
WCOTACA1            Opções Relatório de Cotações
WORDEM              Lista de Ordens de Produção
WMUESPEC            MENU ESPECIAIS CTB
WPLANILHA           Lista de Planilhamento de Horas
WPLANIL1            Relatório Planilhamento Horas
WMUPESSOAL          Menu Departamento Pessoal
WFUNCIONARIO        Lista de Funcionários
WHORAESP            LISTA DE HORÁRIOS ESPECIAIS
WDOCTOS             Lista de Doctos Entrada/Saída
WREQUISI            Lista de Requisições de Produtos
WPOSSALI            Lista Posições Saldos e Custos
WREPORTE            Lista de Reportes
WHISTORICOS         Lista Descrições Contabilidade
WENCEOS             Encerramento de Ordens de Serviço
WMUPROMANUAL        Menu Manual Produção
WESCTEMPO           ESCOLHA TIPO TEMPO FABRICAÇÃO
WNOTENT             Entrada de Notas
WESOFEXTR           Escolha Ordens para Extrato
WMUENTRA            NF's Entrada
WCTBCNF             CONFERE LANÇ. CTB
WCTBCTR             LISTA CONTR. LANÇAMENTOS CTB
WCTBUSU             LISTA DE USUÁRIOS CTB
WENTLANC            Entrada para Lançamentos CTB
WLACTB              Lançamentos da Contabilidade
WPLANORDZ           PLANO C.ONTAS REDUZIDA
WRCPART             REVER C/PART. AUTOMÁTICA
WRVRAT              REVISAR RATEIOS DO MÊS
WMURELE1            Menu Crítica de Valorização de Estoque
WSELECDEL           Excluir NF de Entrada
WPEDID2             Exclusão do Pedido de Venda
WPREVIP2            Lista de Previsões
WCFDIAR             Entrada Conferência Tipo Diário
WCTBPESQ            PESQUISAS DA CONTABILIDADE
WDIANOVO            Nova Pesquisa Diário
WDIAPESQ            Pesquisa Tipo Diário
WDIARAZ             DIÁRIO/RAZÃO
WENTDIAR            ENTRADA PARA DIÁRIO C.RECEBER
WENTRAZ             Entrada para Razão
WLANCZOOM           ZOOM DE LANÇAMENTO
WPLCRDZ             PLANO C.ONTAS REDUZIDA
WPOSIBAL            Posições Balancete/Balanço
WPOSICTB            Posições Balancetes/Balanços
WPOSINV             Posição Nova
WPOSIVAL            Valores das Posições
WRAZNOVO            Nova Pesquisa Razão
WRAZPESQ            Pesquisa Tipo Razão
WCAILAN             Lista Lançamentos de Caixa
WMUOPLCCX           Opções Lançamentos Caixa
WPREENSA            Lista Previsão Entrada/Saída
WPRTIPO             Lista Tipos de Títulos / Previsão
WMUSAIDA            NF's / Faturamento
WPEDID9             LISTA DE COMISSÕES
WNOTASAI            Lista de NFs de Saída
WMURELPED           Menu Relatório Pedido
WMURELP1            Relatório de Pedido de Venda
WREGINVENTA         Registro de Inventário
WBALAN              Balanços/Balancetes
WBALCCUSTO          Balancete por C.Custo
WBALCTB             Balanços / Balancetes Contábeis
WCTBIMP             Exportações para a Contabilidade
WCTBIMP2            Lançamentos Exportados p/ CTB
WCTBIMPW            Exportações para Contabilidade
WCTBIZOOM           Zoom de Exportação Para Contabilidade
WREPOFECH           RETORNA POSIÇÃO FECHAMENTO
WMUSIMULACAO        Simulação de Estoques
WPEDID18            Alteração STATUS do Pedido
WMUPAGAR            Menu Contas a Pagar
WMURECEBER          Menu Contas a Receber
WPAGPOS             Pagamentos
WRECBAN             Créditos de Clientes em Bancos
WRECRAZ             Recebimentos
WHISPED             Lista de Histórico
WSIMUEST1           Escolha Produto para Simulação Estoque
WSELEDELS           Excluir NF de Saída
WSIMUOFEMI          Escolha Ordem de Fabricação já Emitida para Simulação
WPAGAR              Contas a Pagar
WPRODU2             Lista Especial de Produtos
WSIMUAEMITIR        ESC.OF À EMITIR P/SIMULAÇÃO
WMURELVISI          Menu Relatório das Visitas
WFCMAT              Lista de Fornecedor x Material
WPAGCAI             PAGAMENTOS DO CAIXA
WPAGZOOM            Zoom de Títulos a Pagar
WRECEBER            Títulos a Receber
WRECZOOM            ZOOM DE TÍTULO A RECEBER
WFISFORM            LISTA DE FÓRMULAS P/LIVROS
WEVENTOS            LISTA DE EVENTOS
WMOSTTRA            Mostra Código Transações
WCEP                CEP - Código de Endereçamento Postal
WFASES              Lista de Fases de Produção
WMFLUXOCX           Menu Fluxo de Caixa
WPASFASE            Lista de Passagem de Fases
WPASHRPAD           Horas Padrões para Passagens de Fase
WSUBGRUPO           LISTA DE GRUPOS DE ESTOQUE
WREQCOMP            Lista de Ordens para Compra
WREQCOM1            Pede Data para Relatório de Ordens para Compra
WEXCCOTA            Exclusão de Cotações
WZOOMPROD           Zoom do Produto
WCALCCUSTO          CALCULO DE CUSTOS
WCALCITEM           Cálculo de um Item
WCALCGERAL          Cálculo Geral
WZOOMPR2            Informações de Custos Comprado - Zoom Item
WENTENTRA           ENTRADA P/REGISTRO DE ENTRADAS
WENTSAIDA           ENTRADA P/REGISTRO DE SAÍDAS
WPOSICX             Lista Posição de Caixa
WRELATCX            Relatórios do Caixa
WRELPREV            Relatório de Previsões
WZOOMPR3            Informações de Custos Fabricado - Zoom Item
WCOPIAEST           Cópia de Estrutura e Processos de Produção
WTIPGRUPO           Lista de Tipos de Grupos
WMURELE4            Menu Relatório de Compras
WPOSIBC             Lista Posições de Bancos
WTITZOOM            ZOOM DE TÍTULO
WUFIRCOTA           COTAÇÕES DA UFIR MENSAL
WMUNOPRO            Menu Lançamentos Movimentos
WCALCMES            Cálculo Mensal das Depreciações
WPTOPRO             PONTO PRODUÇÃO
WZVLREL             Zoom de Valores de Elementos
WAPURA              Apura ICMS/IPI
WAPURAC             APURA  ICMS/IPI  CREDOR
WAPURAD             APURAÇÃO ICMS/IPI DEVEDOR
WOPEROFIC           NATUREZAS DE OPERAÇÃO OFICIAIS
WPREVIP3            LISTA DE PREVISÕES DE RECTOS.
WZOOMPR8            ZOOM CALCULO ITEM
WEXCCMPPE           Excluir Pedido de Compra
WMUREORD            Menu Relatório Produção
WENTORC             ENTRADA PARA ORÇAMENTOS CTB
WLAORCA             Lançamentos Orçados
WEXREQAUT           Exclusão Ordens de Fabricação
WZPED9              DATA INICIAL E FINAL ZOOM PED
WTITULOS            Títulos de Notas
WITENS              Itens de Notas
WTODAMOV            Lista de Todas Movimentações
WMUINTBAN           Menu Integração Bancos - Cobrança Eletrônica
WINDICOT1           Alimentação de Indicadores
WMUINTCTB           Menu Integração CTB
WINTDESC            DESCRIÇÕES INTEGRAÇÕES CTB
WINTLANC            Descrição por Matriz Contábil
WINTMATR            Matrizes Contábeis
WMODCOBR            Lista de Modalidade de Cobrança
WCTBEXCIMP          Exclui Lotes de Lançamentos da CTB
WTITBANCO           Títulos com Cobrança Eletrônica
WMENSACA4           PEDE DADOS REL.MENSAL ACAB.
WMENSALG            PEDE DADOS REL MENS.ALMX.GERAL
WMENSELA            PEDE DADOS REL.MENS.ELABORAÇÃO
WGASTOSM            Menu Relatório de Gastos Mensal
WLISPRECO           Lista de Preços de Produtos por Código
WMENSTRA            Relatório Mensal por Transação
WMUDIGI1            FORMA MATERIAL P/INVENTÁRIO
WMUDIGI9            Lista de Movimentos do Inventário
WCTBDEMO            Estrutura de Balancetes
WZCTBDEMO           ZOOM ESTRUT. BALANCETES
WBALPLANOC          BALANCETE POR CONTA TÍTULO
WLIMPCMP            Limpeza do Compras
WPONTOPR            PONTOS RELÓGIO CODIN
WRAUXCMP            Menu Relatório Auxiliar Compras
WRLPDCOM            Relatório Pedidos por Data de Entrega
WAPUCOMIS           Apuração de Comissões
WCOMISS             LISTA DE COMISSÕES S/NOTAS
WCOMISS1            INFORMA NR.NOTA, SERIE,DATA
WCOMLIB             Apura Comissões
WEMPQUA             Empresa P/Qualif.
WEMPQUA1            Escolhe Qualifição para Relatório
WMUVEND1            Pede Datas e Cliente
WMUVEND2            PEDE DATAS E PRODUTO
WMUVEND3            Relatório Curva ABC Vendas por Clientes
WTOTENT             TOTALIZAÇÃO P/CÓDIGO
WORCCTR             CONTRÔLE CTB ORÇADA
WZOOMPED            Zoom do Pedido
WTOTUF              TOTALIZAÇÃO POR UF
WTERMO              TERMOS ABERT/ENC LIVROS
WORCAPAGA           Apaga Orçados
WORCREP             ENTRADA P/ REPET. ORÇADOS
WZLAORCA            ZOOM DE ORÇADOS
WBALANCOS           Balanços da Contabilidade
WRELBALAN           Relações de Balanço
WEXTABERT           Escolha Ordens Extrato Abertas
WNOTAE              Zoom da Nota de Compra
WNOTASW             Zoom de Nota de Saída
WCTBDECC            CENTRO DE CUSTO ESTRUTURA
WTOQMOENT           MOVIMENTO ENTRADA DO ESTOQUE
WTOQMOSAI           MOVIMENTOS DE SAÍDA
WEBALANCO           Entrada pra Balanço
WLANCAI8            Lançamento Transferência Bancária
WEMPRES2            Lista Clientes/Fornecedores
WFBALANCO           Faz Balanço
WHISPE1             Histórico do Pedido
WAPABAL             Apaga Balanço
WDIARBAL            Balanço no Diário
WTXTDIAR            Texto no Diário
WERAPOS             Apaga Posições
WDTINIFIM           Relatório Comparativo Previsão X Atendimento
WOBSOLETOS          RELATÓRIO DE OBSOLETOS
WDEPRECIACAO        Depreciação/Amortização e Correção
WENTINVENT          Entrada para Inventário
WENTRADAS           Entradas/Baixas Período
WMURELMES           RELATÓRIOS MENSAIS
WOALFAB             Inventário Ordem Alfabética
WOCCUSTO            Inventário por Centro de Custo
WOGRUPO             Inventário por Grupo
WONUMERO            Inventário Ordem Numérica
WOPLANOC            Inventário por Plano Contas
WRAZUFIR            Razão Auxiliar em UFIR
WEMPETI             Escolher Empresas p/ Etiquetas
WETICON             Lista de Contatos para Etiquetas
WZELECON            Zoom do Sub Elemento
WMUVEND4            Relatório Curva ABC
WMUINIVEN           Menu Inicial Vendas
WMUINICTB           Menu Inicial Contábil
WMUINIADM           Menu Inicial Adm/Financeiro
WMUINIAUX           Menu Inicial Auxiliares
WPATCONTA           Contabilidade no Patrimônio
WLOGUSER            Identificação de Usuário
WLOTPROD            Lotes de Produção
WLOTPRO1            Menu Relatórios Lotes de Produção
WTPTABPRV           Tipos de Tabelas de Preços de Vendas
WTABPRVEN           Lista Tabelas de Preços de Venda
WFORPRVEN           Formação Preço de Venda
WFORPRV1            ALIMENTA PREÇO DE VENDA
WFORPRV3            Atualização de Lista com Outra
WABRANGE            REGIÃO DE ABRANGÊNCIA DE VENDA
WPERIODO            PERÍODO DAS METAS DE VENDAS
WMETAS              METAS DE VENDAS POR PERIODO
WAPVMUCAD           Menu Cadastros Apoio de Vendas
WAPVMUMET           Menu Metas Apoio de Vendas
WAPVMUTAB           Menu Tabelas Preços de Venda
WMETAS1             Acompanhamento de Metas por Período
WMETAS2             Comparativo Entre Períodos
WMETAS3             Estatística Metas de Venda
WFORPRV5            Atualização Individual de Preços
WSUGERE             SUGERE CONTAS DE PATRIMÔNIO
WREPOSICAO          Atualiza Custo de Reposição
WREPXVEN            Menu Reposição X Venda
WMURELP5            RELATÓRIO PEDIDO NÃO FATURADOS
WMUTODOS            Menu Todos os Sistemas
WCMQMUPRI           MENU CARGA MÁQUINA P/PRODUTO
WCMAQPROD           PRODUTOS PARA CARGA MÁQUINA
WCMQPEDID           PEDIDOS P/GERAR CARGA MÁQUINA
WCMQORD             ORDENS P/GERAR CARGA MÁQUINA
WLIGMEDI            Ligações com Medidas
WFORPRV6            Formação Preço de Venda
WRAZCAI1            Razão Resumida do Caixa
WBLOQCOB            Menu Bloquetos de Cobrança
WCONDPAG            Condições de Pagamento
WCOMIPED            LISTA DE PEDIDOS P/VENDEDOR
WCOMIPE1            PESQUISA PEDIDO PELO NR.REP
WMUREL1             Pedidos por Previsão de Entrega
WLIMPED1            LIMPEZA PEDIDOS DE VENDA
WNOTDEM2            Lista de Notas de Demonstração/Contra Nota
WNOTDEM4            Pede Cliente Nota de Demonstração
WNOTDEM8            PEDE NOTAS DEM.PARA DAR BAIXA
WRESOPER            RESUMO VENDAS P/NAT.OPER
WCHPRE03            Cheques Pré-Datados Terceiros
WLYNFMENU           Menu Layout Impressão Notas
WDULAYOUT           Layout Duplicata Própria
WMURELP6            Prazo Médio de Atendimento dos Pedidos
WENSACAI            Contas p/ Relatório Entrada / Saída Caixa
WMUENSACAI          Menu Relatório de Origem e Destino dos Valores
WMUENSA1            Menu por Conta Contábil
WLYBLOQUE           Layout Bloquetos Bancários
WNRNOTSAI           Número NF Saída / Entrada
WLMPSAIDAS          Notas de Saída
WLMPSAI1            LIMPEZA NOTAS POR PERÍODO
WLMPSAI2            LIMPEZA NOTAS POR NÚMERO
WAPVETIQU           Menu Etiquetas
WPERFOLHA           PERÍODOS DAS HORAS PAGAS
WPERFUNCI           HORAS PAGAS POR FUNCIONÁRIO
WPREFUMENU          Menu Relatório Horas Pagas/Planilhadas
WCHPRE04            Cheques Próprios
WMUCHEQUE           Menu Controle de Cheques
WRLFORPRO           Menu Relatório Fornecedor X Material
WLIESTOQ            Limpeza do Estoque
WLANNOT1            Lançamento de Notas à Vista
WLANNOT3            Notas a Vista p/ Lanc. Caixa
WLANNOT4            Pede Data Lançamento
WLISCOM1            Pedidos de Compras
WORDLIMPA           Limpeza Ordens de Produção
WLMPLAN1            Limpa Lançamentos do Caixa
WREGCAR             Lista de Regiões para Carga
WLOTECAR            Lista de Lotes de Carga
WLOTECA1            Lista de Lote de Carga para Região
WCTBEXC2            Exclui Importações da CTB
WMUVEND5            Relatório Clientes sem Compra
WPASHRP1            MENU RELAT.PASSAGEM DE FASES
WMURELE5            Relatório Situação Geral dos Estoques
WCMQMULT            Menu Carga Máquina por Lote
WCMQLOTE1           Gera Cálculo dos Lotes
WCMAQLOT5           Programação da Produção
WCMQLOT6            PEDE DADOS REL.PROG.PRODUÇÃO
WCMQLOT7            PEDE DADOS REL.CARGA MAQ.LOTE
WSIMUES1            Escolha Grupos para Simular
WCOTAREL            Menu Pesquisa de Cotações
WCMQLO11            MENU LOTES EM ATRASO
WCONICM1            GERAÇÃO CONVENIO ICMS MAGNETIC
WEMPRES3            Escolhe Relatório de Empresas
WPROCES1            Exclui Processos do Produto
WESTRUT6            Excluir Toda Estrutura do Produto
WMUPCP              Menu Módulo Industrial
WMUAUDA1            Plano de Corte por Data
WMUAUDA3            Plano de Corte por Ordem
WMUAUDA4            Plano de Corte por Lote
WPEDRSPRO           Resumo de Itens Pendentes
WCREDMOD            Créditos por Módulo de Cobrança
WEMPRES4            Dados Relatório de Empresas
WMETAS4             Previsões de Metas Futuras
WCALCLIS            CALCULO LISTA PREÇOS
WBCOREME            Layout Arquivo Remessa para Banco
WBCOREM1            Pede Datas Arquivos de Remessa
WBCORETO            Layout Arquivo Retorno de Banco
WBCORET1            PEDE NOME ARQ.RETORNO
WCHPRE06            Devolução de Cheque de Terceiros
WMENSTR1            MENU REL.POR TRANSAÇÃO/GRUPO
WSIMUE01            ESCOLHA GRUPOS P/GERAR REQUIS.
WSOBM2PAD           Estruturas Padrões por M2
WSOBPROD            Módulos com Peças Componentes
WSOBORCA            ORÇAMENTOS DE MÓVEIS MODULARES
WSOBORC1            GERA MATERIAIS E MOB CFE.ORCAM
WSOBORC2            MÓDULOS DE UM ORÇAMENTO
